城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,好评数,目的地,编号
 ,4058,117,3,117,9.8, ,4天3晚 ,高档型酒店,3,嘉兴、杭州、湖州、苏州,1056186468
南京出发,4058,117,0,117,9.8,飞机往返,5天4晚 ,高档型酒店,0,丽江、云南,1351525992
南京出发,4058,117,65,117,9.8,飞机往返,5天4晚 ,高档型酒店,65,丽江、云南,1351525992
 ,3980,0,0,0,9.5, ,8天7晚 ,二星及其他酒店,0,哈尔滨、牡丹江、大兴安岭,3239333407
 ,410,0,223,0,10, ,4天3晚 ,舒适型酒店,223, ,1140615725
 ,410,0,0,0,10, ,4天3晚 ,舒适型酒店,0, ,1140615725
 ,410,0,0,0,10, ,4天3晚 ,舒适型酒店,0, ,1140615725
 ,410,0,0,0,10, ,5天4晚 ,高档型酒店,0, ,3164443478
 ,410,0,70,0,9.7, ,2天1晚 ,高档型酒店,70, ,1784563653
 ,410,0,2,0,9.7, ,2天1晚 ,高档型酒店,2, ,1784563653
 ,1531,23,31,23,10, ,7天6晚 ,二道白河准五温泉...等,31,哈尔滨、牡丹江、延边、吉林、吉林市、长春,3727567576
 ,410,0,1,0,6.7, ,3天2晚 ,四星酒店,1, ,4162864705
 ,410,0,0,0,10, ,3天2晚 ,豪华型酒店,0, ,1816974169
 ,410,0,0,0,10, ,3天2晚 ,豪华型酒店,0, ,1816974169
 ,410,0,0,0,10, ,3天2晚 ,豪华型酒店,0, ,1816974169
 ,410,0,1,0,10, ,3天2晚 ,高档型酒店,1, ,4046359258
 ,410,0,0,0,10, ,3天2晚 ,高档型酒店,0, ,4046359258
 ,410,0,0,0,10, ,3天2晚 ,舒适型酒店,0, ,220256427
 ,410,0,26,0,10, ,2天1晚 ,舒适型酒店,26,<img src="//s.qunarzz.com/package_b2c_frontend/detail/qnr-yx.png" class="activity-tag"><em>去哪儿专线标准 · 严选品质保障,1740824620
 ,410,0,18,0,10, ,2天1晚 ,舒适型酒店,18,<img src="//s.qunarzz.com/package_b2c_frontend/detail/qnr-yx.png" class="activity-tag"><em>去哪儿专线标准 · 严选品质保障,1740824620
 ,410,0,0,0,10, ,3天2晚 ,豪华型酒店,0, ,1238791204
 ,410,0,4,0,9.7, ,1天, ,4, ,3020350697
 ,410,0,2,0,9.7, ,1天, ,1, ,3020350697
 ,410,0,1,0,9.7, ,1天, ,1, ,3020350697
 ,410,0,0,0,9.7, ,1天, ,0, ,3020350697
 ,410,0,0,0,9.7, ,1天, ,0, ,3020350697
 ,410,0,25,0,10, ,1天, ,25,延边、白山、长春,556403680
 ,3193,0,0,0,9.8, ,4天3晚 ,舒适型酒店,0,厦门、漳州,2320709219
 ,3193,0,0,0,9.8, ,4天3晚 ,舒适型酒店,0,厦门、漳州,2320709219
 ,3193,0,0,0,9.5,全程汽车,6天5晚 ,二星及其他酒店,0,牡丹江、延边、哈尔滨,4173467344
 ,3193,0,0,0,9.8, ,6天5晚 ,高档型酒店,0,厦门、福建、龙岩,1398421052
 ,3193,0,0,0,9.9,飞机往返,5天4晚 ,豪华型酒店,0, ,2837037490
 ,3193,0,0,0,9.9,飞机往返,5天4晚 ,豪华型酒店,0, ,2837037490
 ,410,0,0,0,9.7, ,2天1晚 ,豪华型酒店,0, ,4137874085
 ,3193,0,0,0,9.9, ,5天4晚 ,高档型酒店,0,成都、乐山、四川、阿坝州,3314538559
 ,3193,0,1,0,9.5, ,6天5晚 ,维也纳酒店(哈尔...等,1,哈尔滨、牡丹江、延边,155821915
 ,3193,0,0,0,9.5, ,6天5晚 ,维也纳酒店(哈尔...等,0,哈尔滨、牡丹江、延边,155821915
 ,3193,0,0,0,9.5, ,6天5晚 ,维也纳酒店(哈尔...等,0,哈尔滨、牡丹江、延边,155821915
 ,3193,0,0,0,9.5,全程汽车,5天4晚 ,二星及其他酒店,0,厦门、漳州,2721894682
 ,3193,0,0,0,9.8, ,5天4晚 ,舒适型酒店,0,福建、厦门、漳州,2194818500
 ,3193,0,0,0,9.9,自理去自理回,5天4晚 ,五星酒店,0,厦门、龙岩、漳州,3264648393
 ,3193,0,0,0,9.9,自理去自理回,5天4晚 ,五星酒店,0,厦门、龙岩、漳州,3264648393
 ,3193,0,0,0,9.9,自理去自理回,4天3晚 ,高档型酒店,0,厦门、龙岩、漳州,1496110047
 ,3193,0,0,0,9.9,自理去自理回,4天3晚 ,高档型酒店,0,厦门、龙岩、漳州,1496110047
 ,3193,0,0,0,9.1,自理去自理回,4天3晚 ,舒适型酒店,0, ,2946072345
 ,3193,0,0,0,9.9, ,6天5晚 ,二星及其他酒店,0,四川、成都、重庆,388485177
 ,3193,0,0,0,9.9,飞机往返,4天3晚 ,高档型酒店,0, ,3553435750
